"Constraint","Variables","Density_Network","Cardinality","F1","Precision","Recall","Time"
1,5,0.2,4,0.8580000000000001,0.7717999999999999,1,3.1182999999999996
1,5,0.3,2,1,1,1,1.1500000000000001
1,5,0.3,3,0.9574999999999999,0.9220999999999999,1,2.4965
1,5,0.3,4,0.8624,0.7642,1,4.0237
1,5,0.4,2,1,1,1,1.3952000000000002
1,5,0.4,3,0.9478,0.9033999999999999,1,3.0239000000000007
1,5,0.4,4,0.8181,0.6988,1,4.700799999999999
1,6,0.1,2,0.9889,1,0.9799999999999999,1.6888
1,6,0.1,3,0.9378,0.8907,1,3.6938000000000004
1,6,0.1,4,0.7605999999999999,0.6205,1,5.5657
1,6,0.2,2,1,1,1,1.7311999999999999
1,6,0.2,3,0.9582999999999999,0.9303,1,3.7401999999999997
1,6,0.2,4,0.8123999999999999,0.6961999999999999,1,6.325500000000001
1,6,0.3,2,0.9881999999999999,1,0.9778,2.0956
1,6,0.3,3,0.9554,0.92,1,5.1149
1,6,0.3,4,0.8502,0.7458000000000001,1,7.3126
1,6,0.4,2,0.9965999999999999,1,0.9932999999999998,2.6524
1,6,0.4,3,0.9542999999999998,0.9149999999999998,1,5.8731
1,6,0.4,4,0.8593,0.7584,1,9.122900000000001
1,10,0.1,2,1,1,1,10.251
1,10,0.1,3,0.95,0.9073333333333332,1,20.418333333333333
1,10,0.1,4,0.7609999999999999,0.6173333333333333,1,32.77166666666666
1,10,0.2,2,0.9689999999999999,0.9803333333333333,0.958,10.971
1,10,0.2,3,0.9833333333333333,0.9673333333333333,1,26.268999999999995
1,10,0.2,4,0.8559999999999999,0.7496666666666666,1,46.45866666666666
1,10,0.3,2,0.9866666666666666,1,0.9733333333333333,14.86
1,10,0.3,3,0.9623333333333332,0.9366666666666665,0.9893333333333332,30.72933333333333
1,10,0.3,4,0.881,0.8116666666666666,0.9676666666666667,51.04033333333333
1,10,0.4,2,0.9853333333333332,1,0.9706666666666666,20.761333333333333
1,10,0.4,3,0.9773333333333332,0.9903333333333333,0.9649999999999999,49.534666666666666
1,10,0.4,4,0.9303333333333333,0.9543333333333333,0.9113333333333333,61.355000000000004
1,15,0.1,2,0.9886666666666666,1,0.9773333333333333,42.93266666666666
1,15,0.1,3,0.9243333333333332,0.8613333333333333,1,89.57366666666667
1,15,0.1,4,0.7789999999999999,0.6406666666666667,1,152.88833333333332
1,15,0.2,2,0.9806666666666666,1,0.9616666666666667,65.50433333333334
